id;bezeichnung;;;
5729;IU Internationale Hochschule Erfurt in Hamburg (Priv. FH) ;;;
572A;IU Internationale Hochschule Erfurt in Frankfurt (Priv. FH) ;;;
572B;IU Internationale Hochschule Erfurt in Leipzig (Priv. FH);;;
5731;FH Bielefeld in Bielefeld;;;
5732;FH Bielefeld in Minden;;;
5733;FH Bielefeld in Gütersloh;;;
5751;Hochschule Bochum (FH) in Bochum;;;
5752;Hochschule Bochum (FH) in Velbert/Heiligenhaus;;;
5770;FH Dortmund;;;
5780;H Düsseldorf (FH);;;
5800;University of Europe for Applied Sciences Potsdam in Iserlohn (Priv. FH);;;
5801;University of Europe for Applied Sciences Potsdam in Potsdam (Priv. FH);;;
5802;University of Europe for Applied Sciences Potsdam in Berlin (Priv. FH);;;
5803;University of Europe for Applied Sciences Potsdam in Hamburg (Priv. FH);;;
5820;FH des Mittelstandes (FHM) in Bielefeld (Priv.);;;
5821;FH des Mittelstandes (FHM) in Köln (Priv.);;;
5822;FH des Mittelstandes (FHM) in Frechen (Priv. FH);;;
5823;FH des Mittelstandes (FHM) in Rostock (Priv.);;;
5824;FH des Mittelstandes (FHM) in Schwerin (Priv.);;;
5825;FH des Mittelstandes (FHM) in Hannover (Priv.);;;
5826;FH des Mittelstandes (FHM) in Bamberg (Priv.) ;;;
5827;FH des Mittelstandes (FHM) in Berlin (Priv. FH);;;
5831;Technische Hochschule Köln in Köln (FH);;;
5832;Technische Hochschule Köln in Gummersbach (FH);;;
5833;Technische Hochschule Köln in Leverkusen (FH);;;
5841;H Niederrhein in Krefeld (FH);;;
5842;H Niederrhein in Mönchengladbach (FH);;;
5861;H Ostwestfalen-Lippe in Lemgo (FH);;;
5862;H Ostwestfalen-Lippe in Detmold (FH);;;
5863;H Ostwestfalen-Lippe in Höxter (FH);;;
5891;FH Münster in Münster;;;
5892;FH Münster in Steinfurt;;;
5901;Priv. FH der Wirtschaft Paderborn in Paderborn;;;
5902;Priv. FH der Wirtschaft Paderborn in Bergisch-Gladbach;;;
5904;Priv. FH der Wirtschaft Paderborn in Bielefeld;;;
5905;Priv. FH der Wirtschaft Paderborn in Mettmann;;;
5980;Techn. FH Georg Agricola Bochum (Priv. FH);;;
5990;Priv. Rheinische FH Köln in Köln;;;
5991;Priv. Rheinische FH Köln in Neuss;;;
6000;Evang. FH Rheinland-Westfalen-Lippe, Bochum;;;
6031;Kath. Hochschule Nordrhein-Westfalen in Köln (FH);;;
6032;Kath. Hochschule Nordrhein-Westfalen in Aachen (FH);;;
6033;Kath. Hochschule Nordrhein-Westfalen in Münster (FH);;;
6034;Kath. Hochschule Nordrhein-Westfalen in Paderborn (FH);;;
6071;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Gelsenkirchen (Verw-FH);;;
6072;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Dortmund (Verw-FH);;;
6074;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Duisburg (Verw-FH);;;
6075;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Hagen (Verw-FH);;;
6076;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Köln (Verw-FH);;;
6077;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Münster (Verw-FH);;;
607B;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Mülheim (Verw-FH);;;
607C;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Aachen (Verw-FH);;;
607D;Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen in Herne (Verw-FH);;;
6180;FH für Rechtspflege NW, Bad Münstereifel;;;
6190;Hochschule für Finanzen Nordrhein-Westfalen in Nordkirchen (Verw-FH);;;
6202;Hochschule des Bundes für öffentliche Verwaltung, FB Sozialversicherung in Berlin;;;
6203;Hochschule des Bundes für öffentliche Verwaltung, FB Wetterdienst in Langen;;;
6206;Hochschule des Bundes für öffentliche Verwaltung, FB Allgemeine innere Verwaltung in Brühl;;;
6207;"Hochschule des Bundes für öff. Verwaltung, FB Nachrichtendienste Abteilung Verfassungsschutz in Brühl";;;
6208;Hochschule des Bundes für öffentliche Verwaltung, FB Finanzen in Münster;;;
620B;Hochschule des Bundes für öffentliche Verwaltung, FB Bundeswehrverwaltung in Mannheim;;;
620C;Hochschule des Bundes für öffentliche Verwaltung, FB Kriminalpolizei in Wiesbaden;;;
620D;Hochschule des Bundes für öffentliche Verwaltung, FB Bundespolizei in Lübeck;;;
620E;Hochschule des Bundes für öffentliche Verwaltung, FB Landwirtschaftliche Sozialversicherung in Kassel;;;
620F;Hochschule des Bundes für öffentliche Verwaltung, FB Nachrichtendienste in Berlin ;;;
6211;h_da - H Darmstadt in Darmstadt (FH);;;
6212;h_da - H Darmstadt in Dieburg (FH);;;
6220;Frankfurt University of Applied Sciences (FH);;;
6231;Technische Hochschule Mittelhessen (THM) in Gießen;;;
6232;Technische Hochschule Mittelhessen (THM) in Friedberg;;;
6233;Technische Hochschule Mittelhessen (THM) in Wetzlar;;;
6243;Hochschule RheinMain (FH) in Rüsselsheim;;;
6244;Hochschule RheinMain (FH) in Wiesbaden;;;
6271;Evangelische Hochschule Darmstadt (EHD) in Darmstadt (FH);;;
6272;Evangelische Hochschule Darmstadt (EHD) in Schwalmstadt (FH);;;
6281;Hochschule Fresenius Idstein in Idstein (Priv. FH);;;
6282;Hochschule Fresenius Idstein in Köln (Priv. FH) ;;;
6284;Hochschule Fresenius Idstein in München (Priv. FH);;;
6285;Hochschule Fresenius Idstein in Hamburg (Priv. FH);;;
6286;Hochschule Fresenius Idstein in Frankfurt (Priv. FH);;;
6287;Hochschule Fresenius Idstein in Berlin (Priv. FH);;;
6288;Hochschule Fresenius Idstein in Düsseldorf (Priv. FH)  ;;;
6289;Hochschule Fresenius Idstein in Wiesbaden (Priv. FH);;;
6290;Hochschule Fulda (FH);;;
6320;FH für Archivwesen Marburg;;;
6330;Hessische H für Finanzen und Rechtspflege in Rotenburg (Verw-FH);;;
6343;Hessische H für Polizei und Verwaltung Wiesbaden in Gießen (Verw-FH);;;
6344;Hessische H für Polizei und Verwaltung Wiesbaden in Kassel (Verw-FH);;;
